Id,ShortDescription,Description,User
18,0,PALEO - ΛΕΥΚΙΜΜΗ,Maria
19,3,NISAKI - KALAMI - BARBATI - DASIA - GOUVIA - CORFU PORT,Eva
20,2,TOWN - ΠΕΡΑΜΑ - ΜΕΣΣΟΓΓΗ - ΛΕΥΚΙΜΜΗ,Maria
22,4,PALEO - ERMONES - GLYFADA - PELEKA - AG.GORDIS - CORFU PORT,MARILENA
28,1,ACHARAVI - RODA - SIDARI - CORFU PORT,Eva
29,Γ,KAVOS,ΠΑΝΔΗΣ
31,5,NO TRANSFER,ΠΑΝΔΗΣ
32,6,AG.STEFANOS - ARILLAS - PAGOI - CORFU PORT,Eva
